event_type,timestamp,elapsed_seconds,declination_deg,side_of_pier,dry_run,ra_raw_arcsec,applied_ra_rate,previous_ra_rate,slope_arcsec_per_sec,n_samples,cos_dec,needed_offset_increment,damping_factor,delta_applied,new_ra_rate
guide_step,2026-09-06T09:35:25.282436,0.0,0.0,0,True,0.12336963184300564,0.0,,,,,,,,
guide_step,2026-09-06T09:35:27.282436,2.0,0.0,0,True,0.10429140081041871,0.0,,,,,,,,
guide_step,2026-09-06T09:35:29.282436,4.0,0.0,0,True,0.1665886253818299,0.0,,,,,,,,
guide_step,2026-09-06T09:35:31.282436,6.0,0.0,0,True,0.21410095099103468,0.0,,,,,,,,
guide_step,2026-09-06T09:35:33.282436,8.0,0.0,0,True,0.2180383081777303,0.0,,,,,,,,
guide_step,2026-09-06T09:35:35.282436,10.0,0.0,0,True,0.2707057458149532,0.0,,,,,,,,
guide_step,2026-09-06T09:35:37.282436,12.0,0.0,0,True,0.1596222803956216,0.0,,,,,,,,
guide_step,2026-09-06T09:35:39.282436,14.0,0.0,0,True,0.013562980258014362,0.0,,,,,,,,
guide_step,2026-09-06T09:35:41.282436,16.0,0.0,0,True,0.051224024757926805,0.0,,,,,,,,
guide_step,2026-09-06T09:35:43.282436,18.0,0.0,0,True,0.3345223159391913,0.0,,,,,,,,
guide_step,2026-09-06T09:35:45.282436,20.0,0.0,0,True,0.5642427177547445,0.0,,,,,,,,
guide_step,2026-09-06T09:35:47.282436,22.0,0.0,0,True,0.4351101230189476,0.0,,,,,,,,
guide_step,2026-09-06T09:35:49.282436,24.0,0.0,0,True,0.39510454382284504,0.0,,,,,,,,
guide_step,2026-09-06T09:35:51.282436,26.0,0.0,0,True,0.4372245897162252,0.0,,,,,,,,
guide_step,2026-09-06T09:35:53.282436,28.0,0.0,0,True,0.4270415508025436,0.0,,,,,,,,
guide_step,2026-09-06T09:35:55.282436,30.0,0.0,0,True,0.4587941249892916,0.0,,,,,,,,
guide_step,2026-09-06T09:35:57.282436,32.0,0.0,0,True,0.6594504220911608,0.0,,,,,,,,
guide_step,2026-09-06T09:35:59.282436,34.0,0.0,0,True,0.5853692933794155,0.0,,,,,,,,
guide_step,2026-09-06T09:36:01.282436,36.0,0.0,0,True,0.5529022396489347,0.0,,,,,,,,
guide_step,2026-09-06T09:36:03.282436,38.0,0.0,0,True,0.32401666794275297,0.0,,,,,,,,
guide_step,2026-09-06T09:36:05.282436,40.0,0.0,0,True,0.3395333460572865,0.0,,,,,,,,
guide_step,2026-09-06T09:36:07.282436,42.0,0.0,0,True,0.41646136670332035,0.0,,,,,,,,
guide_step,2026-09-06T09:36:09.282436,44.0,0.0,0,True,0.11191466821238183,0.0,,,,,,,,
guide_step,2026-09-06T09:36:11.282436,46.0,0.0,0,True,0.4036762496818533,0.0,,,,,,,,
guide_step,2026-09-06T09:36:13.282436,48.0,0.0,0,True,0.3560537520477555,0.0,,,,,,,,
guide_step,2026-09-06T09:36:15.282436,50.0,0.0,0,True,0.2584330789331536,0.0,,,,,,,,
guide_step,2026-09-06T09:36:17.282436,52.0,0.0,0,True,0.2029260154075803,0.0,,,,,,,,
guide_step,2026-09-06T09:36:19.282436,54.0,0.0,0,True,0.27984240013583705,0.0,,,,,,,,
